A,B,C,D,E,F
Active material,,60,88.42669,2.31,173.8491663
"Carbon ""0",,8,9.314789,1.825,18.31311564
Binder,,2,2.258517,1.77,4.440303382
Open porosity,,5,0,,NaN
Electrolyte,,25,,1.2,0
Active material,,60,88.42669,2.31,173.8491663
Carbon ,,8,9.314789,1.825,18.31311564
Binder,,2,2.258517,1.77,4.440303382
Open porosity,,5,0,,NaN
Electrolyte,,25,,1.2,0
Total,,100,100,1.5674,196.6025853
Total minus lithium from active material,,NaN,,,144.0110737
Total minus product (active material),,NaN,,,22.75341902
"Negative Electrode, g",,NaN,,,NaN
Active material,,NaN,100,0.53,78.88726738
Carbon,,NaN,0,1.95,0
Binder,,NaN,0,1.1,0
Void,Vol. %,0,,,0
Total,,NaN,100,0.53,78.88726738
Balance of Cell,,NaN,,,NaN
"Positive foil, m2",,NaN,20,2.7,4.623574724
"Negative foil, m2",,NaN,8,8.92,2.956272999
"Separator, m2",,NaN,20,4,5.127855646
"Electrolyte , L",,NaN,,1.2,0.042105814
"Positive terminal assembly, g",,NaN,,5.8414,2.248258571
"Negative terminal assembly, g",,NaN,,,7.427580167
"Thickness of cell container aluminum layer, µm",,NaN,,,100
"Thickness of cell container (PET-Al-PP), µm",,NaN,,,150
"Density of cell container, g/cm3",,NaN,,,2.2
"Cell container (PET-Al-PP), g",,NaN,,,42.20891794
"Cell mass, g",,NaN,,,1196.171202
Length-to-width ratio for positive electrode,,NaN,,,1
"Cell thickness, mm",,NaN,,,10.89894995
"Thickness of cell edge from positive electrode to outside of fold, mm",,NaN,,,0
"Thickness of terminal material, mm",,NaN,,,1
"Top of positive electrode to top of terminal, mm",,NaN,,,0
Cell Capacity Parameters,,NaN,,,NaN
"Positive active material capacity, mAh/g:",,NaN,,,1168
"Positive electrode capacity, Ah/cm3",,NaN,,,1.618848
"Negative active material capacity, mAh/g:",,NaN,,,3861
"Negative electrode capacity, Ah/cm3",,NaN,,,2.04633
Negative-to-positive capacity ratio after formation,,NaN,,,1.5
Cell Voltage and Resistance Parameters,,NaN,,,NaN
"OCV at full power, V",,NaN,,,2.96
"Open circuit voltage average for discharge, V",,NaN,,,2.96
"Electrode system ASI for energy, ohm-cm2",,NaN,,,58.52
"Excess negative area, %",,NaN,,,0
"Default maximum allowable electrode coating thickness, mm",,NaN,,,200
"Cell terminal contact voltage loss, % of cell OCV",,NaN,,,0.01
"Rate of terminal temperature rise at full power, oC/sec",,NaN,,,0.05
Target % OCV at full power,,NaN,,,80
% OCV at full power adjusted for thickness limit,,NaN,,,80
Battery Input Parameters,,NaN,,,NaN
"Vehicle type (microHEV, HEV-HP, PHEV, EV)",,NaN,,,NaN
"Pack heat transfer fluid (EG-W, CA, CoolA )",,NaN,,,NaN
"Duration of power burst (10 or 2), s",,NaN,,,10
"Battery pack power, kW",,NaN,,,87.73
Number of cells per module ,,NaN,,,30
Number of cells in parallel,,NaN,,,2
Number of modules in row,,NaN,,,4
Number of rows of modules per pack,,NaN,,,2
Number of modules per battery pack,,NaN,,,8
Number of modules in parallel,,NaN,,,1
Number of packs per vehicle (parallel or series),,NaN,,,1
     Parallel packs (P) or series (S),,NaN,,,NaN
Cells per battery pack,,NaN,,,240
Total cells per battery system,,NaN,,,240
"Voltage drop for bus bar for packs with one row of modules, V",,NaN,,,0.03
"Battery pack insulation thickness, mm",,NaN,,,10
"Battery jacket total thickness, mm",,NaN,,,14
Number of batteries manufactured per year,,NaN,,,100000
Cell Chemistry Input,,NaN,,,355.2
Battery Performance and Design Input,,NaN,,,NaN
Calculated Cell Parameters,,NaN,,,NaN
"Capacity, Ah",,NaN,,,NaN
Cell group capacity ,,NaN,,,406.1116525
Cell capacity,,NaN,,,203.0558262
ASI Calculation,,NaN,,,NaN
"Limiting current density, mA/cm2",,NaN,,,85
"Limiting C-rate, A/Ah",,NaN,,,100
"Electrode system ASI for power at SOC for vehicle type, ohm-cm2",,NaN,,,194.3720375
"Current collector resistance parameter, ohms",,NaN,,,0.007842391
"Current collector ASI, ohms-cm2",,NaN,,,1.602383959
"Cell terminal and connection ASI, ohms-cm2",,NaN,,,0.644725535
"Resistance of module and pack per module, ohms",,NaN,,,8.11E-05
"Resistance of module and pack hardware per cell, ohms",,NaN,,,6.75E-07
"Total cell hardware and battery ASI, ohm-cm2",,NaN,,,2.281746767
"Total cell ASI for power, ohm-cm2",,NaN,,,196.6537842
"Total cell ASI for energy (C/5 rate), ohm-cm2",,NaN,,,423.3378475
Electrode Coating Thickness Calculation,,NaN,,,NaN
Negative-to-positive electrode thickness ratio,,NaN,,,1.186647315
"Positive electrode thickness, if at maximum , mm",,NaN,,,200
"Negative electrode thickness, if at maximum , mm",,NaN,,,237.329463
"Thickest electrode, mm",,NaN,,,237.329463
"Positive electrode thickness parameter, mm",,NaN,,,24.46096528
"Negative electrode thickness parameter, mm",,NaN,,,29.02653877
