A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
"",check,1,,,,,,,,,,,"Calculate efficiency of C/5 discharge from cell design on left",<undefined>,NaN
"",check,1,,,,,,,,,,,"Calculate efficiency of C/5 discharge from cell design on left",<undefined>,NaN
"Total pack energy",kWh,128,,,,,,,,,,,"Total pack energy",kWh,128
"Total pack power",kW,87.73,,,,,,,,,,,"Total pack power",kW,87.73
"Calculated pack power at V/U",kW,87.7300000000075,,,,,,,,,,,"",<undefined>,NaN
"Number of cells",<undefined>,240,,,,,,,,,,,"Number of cells",<undefined>,240
"Pack area required",m2,1230.68535513552,,,,,,,,,,,"Pack area required",m2,1230.68535513552
"Thermodynamic cell voltage, U",V,2.96,,,,,,,,,,,"Thermodynamic cell voltage, U",V,2.96
"Cell area",cm2,51278.5564639801,,,,,,,,,,,"Cell area",cm2,51278.5564639801
"Number of layers per cell",<undefined>,104,,,,,,,,,,,"Number of layers per cell",<undefined>,104
"Layer area",cm2,493.063042922886,,,,,,,,,,,"Layer area",cm2,493.063042922886
"Cell voltage at rated power",V,2.368,,,,,,,,,,,"Cell voltage at rated power",V,2.368
"  Calc cell voltage at rated power",V,2.36800000000001,,,,,,,,,,,"",<undefined>,NaN
"Current at rated power",A/cm2,0.0030103666820521,,,,,,,,,,,"  Fraction of OCV at C/5",V/U,0.887343069755034
"  Calc current at rated power",A/cm2,0.00301036668205223,,,,,,,,,,,"  Calc cell voltage for energy",V,2.6265354864749
"Current for energy, C/5",A/cm2,0.000791971694345354,,,,,,,,,,,"Current for energy, C/5",A/cm2,0.000791971694345354
"Specific capacity, C",mAh/cm2,3.95985847172704,,,,,,,,,,,"Capacity, C",mAh/cm2,3.95985847172704
"Cell capacity, Q",Ah,203.055826231811,,,,,,,,,,,"Cell capacity, Q",Ah,203.055826231811
"Iterate current (1 = yes, 0 = reset)",<undefined>,1,,,,,,,,,,,"",<undefined>,NaN
"Iterate positive (1 = yes, 0 = reset)",<undefined>,1,,,,,,,,,,,"Iterate positive (1 = yes, 0 = reset)",<undefined>,1
"Warning",<undefined>,NaN,,,,,,,,,,,"Warning",<undefined>,NaN
"Impedance source",units,NaN,,,,,,,,,,,"Impedance source",units,NaN
"",<undefined>,NaN,,,,,,,,,,,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,,"",<undefined>,NaN
"",<undefined>,NaN,,,,,,,,,,,"",<undefined>,NaN
"Lithium metal electrode",Electrodissolution/deposition between ceramic-buffer-layer and metal interface,NaN,,,,,,,,,,,"Lithium metal electrode",Electrodissolution/deposition between ceramic-buffer-layer and metal interface,NaN
"  N:P ratio",mAh/mAh,1.5,,,,,,,,,,,"  N:P ratio",mAh/mAh,1.5
