A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
"",check,1,,,,,,,,,,NaN,"Calculate efficiency of C/5 discharge from cell design on left",<undefined>,NaN
"",check,1,,,,,,,,,,NaN,"Calculate efficiency of C/5 discharge from cell design on left",<undefined>,NaN
"Total pack energy",kWh,128,,,,,,,,,,NaN,"Total pack energy",kWh,128
"Total pack power",kW,87.73,,,,,,,,,,NaN,"Total pack power",kW,87.73
"Calculated pack power at V/U",kW,87.7300000000075,,,,,,,,,,NaN,"",<undefined>,NaN
"Number of cells",<undefined>,240,,,,,,,,,,NaN,"Number of cells",<undefined>,240
"Pack area required",m2,1230.68535513544,,,,,,,,,,NaN,"Pack area required",m2,1230.68535513544
"Thermodynamic cell voltage, U",V,2.96,,,,,,,,,,NaN,"Thermodynamic cell voltage, U",V,2.96
"Cell area",cm2,51278.5564639767,,,,,,,,,,NaN,"Cell area",cm2,51278.5564639767
"Number of layers per cell",<undefined>,104,,,,,,,,,,NaN,"Number of layers per cell",<undefined>,104
"Layer area",cm2,493.063042922853,,,,,,,,,,NaN,"Layer area",cm2,493.063042922853
"Cell voltage at rated power",V,2.36800000000003,,,,,,,,,,NaN,"Cell voltage at rated power",V,2.36800000000003
"  Calc cell voltage at rated power",V,NaN,,,,,,,,,,NaN,"Cell voltage fo energy",<undefined>,2.62653548647489
"Current at rated power",A/cm2,0.00301036668205184,,,,,,,,,,NaN,"  Fraction of OCV at C/5",V/U,0.887343069755034
"  Calc current at rated power",A/cm2,0.00301036668205206,,,,,,,,,,NaN,"  Calc cell voltage for energy",V,2.6265354864749
"Current for energy, C/5",A/cm2,0.000791971694345358,,,,,,,,,,NaN,"Current for energy, C/5",A/cm2,0.000791971694345358
"Specific capacity, C",mAh/cm2,3.95985847172705,,,,,,,,,,NaN,"Capacity, C",mAh/cm2,3.95985847172705
"Cell capacity, Q",Ah,203.055826231811,,,,,,,,,,NaN,"Cell capacity, Q",Ah,203.055826231811
"Iterate current (1 = yes, 0 = reset)",<undefined>,1,,,,,,,,,,NaN,"",<undefined>,NaN
"Iterate positive (1 = yes, 0 = reset)",<undefined>,1,,,,,,,,,,NaN,"Iterate positive (1 = yes, 0 = reset)",<undefined>,1
"Warning",<undefined>,NaN,,,,,,,,,,NaN,"Warning",<undefined>,NaN
